s-Hertogenbosch 	0796 	Noord-Brabant 	158.952 	109,99 	1.445 	20,9% 	9,1% 	11,8% 	1	
Aa en Hunze 	1680 	Drenthe 	25.728 	276,09 	93 	6,7% 	4,2% 	2,5% 		31,1
Aalsmeer 	0358 	Noord-Holland 	33.071 	20,12 	1.644 	20,4% 	11,3% 	9,1% 		35,3
Aalten 	0197 	Gelderland 	27.269 	96,54 	282 	11,4% 	8,0% 	3,4% 		28,6
Achtkarspelen 	0059 	Friesland 	28.110 	102,23 	275 	4,5% 	2,3% 	2,2% 		26,1
Alblasserdam 	0482 	Zuid-Holland 	20.399 	8,78 	2.323 	15,1% 	7,0% 	8,1% 		29,4
Albrandswaard 	0613 	Zuid-Holland 	26.349 	21,69 	1.215 	21,5% 	7,9% 	13,6% 		35,2
Alkmaar 	0361 	Noord-Holland 	111.878 	110,46 	1.013 	22,6% 	9,8% 	12,9% 		29,1
Almelo 	0141 	Overijssel 	74.034 	67,27 	1.101 	26,3% 	10,4% 	15,9% 		26,3
Almere 	0034 	Flevoland 	223.183 	129,19 	1.728 	43,8% 	10,9% 	32,9% 		29,4
Alphen aan den Rijn 	0484 	Zuid-Holland 	114.313 	126,23 	906 	20,8% 	9,4% 	11,4% 		31,4
Alphen-Chaam 	1723 	Noord-Brabant 	10.462 	93,04 	112 	14,5% 	11,8% 	2,8% 		33
Altena 	1959 	Noord-Brabant 	57.776 	200,63 	288 	7,5% 	4,7% 	2,8% 		31,1
Ameland 	0060 	Friesland 	3.834 	59,11 	65 	8,1% 	6,5% 	1,6% 		
Amersfoort 	0307 	Utrecht 	160.902 	62,62 	2.569 	25,1% 	8,9% 	16,1% 		31,5
Amstelveen 	0362 	Noord-Holland 	94.396 	41,13 	2.295 	45,8% 	19,7% 	26,1% 		33,5
Amsterdam 	0363 	Noord-Holland 	922.679 	165,50 	5.575 	55,6% 	19,5% 	36,1% 		29,4
Apeldoorn 	0200 	Gelderland 	167.205 	339,89 	492 	18,1% 	8,4% 	9,7% 		29,7
Arnhem 	0202 	Gelderland 	165.896 	97,82 	1.696 	32,8% 	11,8% 	21,0% 		26,1
Assen 	0106 	Drenthe 	69.426 	81,89 	848 	16,2% 	8,0% 	8,3% 		27,7
Asten 	0743 	Noord-Brabant 	17.267 	70,17 	246 	11,3% 	7,6% 	3,7% 		30,3
Baarle-Nassau 	0744 	Noord-Brabant 	7.080 	76,14 	93 	25,8% 	22,7% 	3,1% 		31,2
Baarn 	0308 	Utrecht 	25.032 	32,54 	769 	18,5% 	9,8% 	8,6% 		37,4
Barendrecht 	0489 	Zuid-Holland 	48.807 	19,75 	2.471 	25,2% 	7,8% 	17,4% 		34,3
Barneveld 	0203 	Gelderland 	61.769 	175,90 	351 	8,9% 	4,1% 	4,8% 		31,1
